iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
PRT,Europe,Portugal,2021-06-27,874547.0,1496.0,1356.714,17084.0,1.0,2.714,85767.591,146.714,133.054,1675.443,0.098,0.266,1.27,97.0,9.513,405.0,39.719,,,81.21,7.964,60718.0,12926064.0,1267.67,5.955,54651.0,5.36,0.021,48.3,tests performed,8203905.0,5348748.0,3194112.0,98084.0,89032.0,80.46,52.46,31.32,8731.0,70.37,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
QAT,Asia,Qatar,2021-06-27,221692.0,102.0,127.429,588.0,0.0,0.714,76948.068,35.404,44.23,204.092,0.0,0.248,0.97,,,,,,,,,4751.0,2131383.0,739.791,1.649,5289.0,1.836,0.029,34.4,people tested,3041661.0,1676351.0,1365310.0,32839.0,22191.0,105.57,58.19,47.39,7702.0,62.96,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
ROU,Europe,Romania,2021-06-27,1080630.0,46.0,53.429,33253.0,76.0,132.429,56172.568,2.391,2.777,1728.535,3.951,6.884,0.5,181.0,9.409,,,,,283.656,14.745,17701.0,8286995.0,430.769,0.92,14038.0,0.73,0.004,260.7,tests performed,8880515.0,4691498.0,4470150.0,22543.0,23442.0,46.16,24.39,23.24,1219.0,42.59,19237682.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,
RUS,Europe,Russia,2021-06-27,5387486.0,20169.0,18896.0,131070.0,591.0,552.0,36917.161,138.206,129.483,898.143,4.05,3.783,1.24,,,,,,,,,505299.0,147444161.0,1010.345,3.463,431690.0,2.958,0.041,24.6,tests performed,38440164.0,21614318.0,16825846.0,341951.0,505551.0,26.34,14.81,11.53,3464.0,49.07,145934460.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,
RWA,Africa,Rwanda,2021-06-27,36627.0,741.0,830.571,420.0,9.0,5.429,2827.857,57.21,64.126,32.427,0.695,0.419,1.98,,,,,,,,,8741.0,1573227.0,121.464,0.675,7293.0,0.563,0.089,11.2,samples tested,,,,,,,,,,54.63,12952209.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,
KNA,North America,Saint Kitts and Nevis,2021-06-27,429.0,1.0,12.571,3.0,0.0,0.286,8065.123,18.8,236.341,56.399,0.0,5.371,,,,,,,,,,,20546.0,386.261,,,,,,people tested,38006.0,22656.0,15350.0,4024.0,799.0,71.45,42.59,28.86,15021.0,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,
LCA,North America,Saint Lucia,2021-06-27,5278.0,9.0,8.857,84.0,0.0,0.571,28742.737,49.012,48.234,457.444,0.0,3.112,0.89,,,,,,,,,,,,,,,,,,52355.0,30623.0,21732.0,226.0,161.0,28.51,16.68,11.83,877.0,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,
VCT,North America,Saint Vincent and the Grenadines,2021-06-27,2219.0,1.0,3.429,12.0,0.0,0.0,20000.541,9.013,30.903,108.16,0.0,0.0,1.11,,,,,,,,,,,,,,,,,,24667.0,,,,173.0,22.23,,,1559.0,,110947.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,
WSM,Oceania,Samoa,2021-06-27,3.0,0.0,0.0,,,0.0,15.12,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,45178.0,43983.0,1195.0,,745.0,22.77,22.17,0.6,3755.0,,198410.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,
SMR,Europe,San Marino,2021-06-27,5090.0,0.0,0.0,90.0,0.0,0.0,149979.374,0.0,0.0,2651.895,0.0,0.0,0.05,,,,,,,,,,,,,,,,,,44430.0,22322.0,22322.0,1.0,80.0,130.92,65.77,65.77,2357.0,38.89,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
